Name,Description
PRANJALI BAHUUDISHIYA SEVABHAVI SANSTHA,social services urban rural maharashtra accident victims adolescents adults artists beggars children commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly factory workers farmers farm labourers girl child healthcare workers homeless juvenile migrants ngos organ donors orphans patients plants rural poor slum dwellers street children students teachers urban poor volunteers women youth
Puttenahalli Neighbourhood Lake Improvement Trust,environment urban karnataka adults animals birds children plants students volunteers youth
SAMIKHYA CHARITABLE SOCIETY,education and research urban rural andhra pradesh accident victims adolescents blood donors children elderly girl child mentally challenged orphans patients physically challenged plants street children students teachers tribals volunteers war victims weavers women youth
Samvedna,social services urban rural jharkhand adults women youth
SARASWATI BAHUUDDESHIYA SANSTHA KATOL,education and research urban rural maharashtra children girl child physically challenged rural poor students youth
Sewak Social and Environmental Welfare Association of Khilchipur Samiti,social services urban rural all india adults farmers farm labourers girl child ngos rural poor students women youth
SHARE THE VISION,social services urban rural all india adolescents adults blood donors children commercial sex workers farmers farm labourers girl child mentally challenged organ donors orphans physically challenged slum dwellers street children students tribals truckers urban poor women youth
SHIV PRATHISTHAN,social services urban rural maharashtra adults volunteers youth
Shri Sant Singaji Educational Society Samiti,education and research rural madhya pradesh rural poor students youth
Sidhdha Sakthi Arutchothi Vallalar Kalvi Nilayam,social services urban rural all india adults
"SNEHAJEET PRATISHTHAN, KUPWAD",social services urban rural maharashtra adolescents adults children disaster affected girl child healthcare workers homeless orphans patients physically challenged rural poor street children students teachers tribals women youth
SOCIAL AID FOR THE HANDICAPPED AND INFIRM,health urban rural kerala accident victims physically challenged
Social and Humanitarian Action for Promoting Education in India,social services urban rural delhi adolescents children women
SOCIAL EMPOWERMENT AND AGRICULTURE DEVELOPMENT AGENCY (SEADA),social services urban rural jharkhand animals birds children dalits disaster affected farmers farm labourers mentally challenged physically challenged rural poor tribals
TERESA THE OCEAN OF HUMANITY FOUNDATION,education and research urban rural maharashtra beggars children girl child street children women
THE DOCTORS UNITED CHARITABLE TRUST,health urban rural puducherry adults blood donors children chronically ill disaster affected elderly healthcare workers hiv medical practioners mentally challenged ngos organ donors patients urban poor volunteers youth
THE ORIGIN,education and research urban rural bihar adolescents adults blood donors children construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups farmers farm labourers girl child healthcare workers hiv juvenile migrants plants rickshawallahs drivers rural poor slum dwellers street children students urban poor volunteers women youth
The Voluntary Health Association of India,philanthropic intermediaries and voluntarism promotion urban rural all india adolescents adults armed forces artisans artists blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons farmers farm labourers girl child healthcare workers hiv homeless medical practioners mentally challenged organ donors patients physically challenged rural poor students teachers tribals urban poor volunteers weavers women youth
The Young Exlorers Institute for Social Service,social services urban rural west bengal adolescents youth
Versatile Global Educational Centre,social services urban rural maharashtra adolescents adults children girl child street children students urban poor youth
VKS Sharanya Welfare Society,education and research urban rural all india adults artisans blood donors children construction workers disaster affected elderly factory workers farmers farm labourers girl child healthcare workers hiv ngos organ donors orphans rickshawallahs drivers rural poor slum dwellers street children students teachers urban poor women youth
"WORKSHOP FOR REHABILITATION AND TRAINING FOR THE HANDICAPPED TRUST, WORTH TRUST",social services urban rural tamil nadu children factory workers mentally challenged physically challenged students
YOUTH UNION FOR VARIOUS ACTION,social services urban rural gujarat youth
YUVA UMANG PUBLIC WELFARE SOCIETY SAMITI,social services urban rural madhya pradesh adolescents adults animal lovers animals birds blood donors children dalits displaced persons farmers farm labourers girl child healthcare workers legal workers medical practioners ngos physically challenged plants rickshawallahs drivers rural poor scavengers human street children students teachers tribals urban poor volunteers women youth
Yuvajana Seva Sangham,social services urban rural andhra pradesh adults women youth
Achalabharathi Public Charitable Trust,education and research urban rural karnataka children girl child students teachers
AGASTHYA SAMEE EDUCATIONAL SOCIETY,education and research rural tamil nadu students
AMBIHA CHARITABLE TRUST,environment urban rural tamil nadu adolescents adults children domestic workers farmers farm labourers girl child rural poor students women youth
ANKANAM THEATRE GROUP,culture and recreation urban rural all india adults artists
Annapurna Mahila Mandal,social services urban rural maharashtra children girl child women
Arogya Educational & Health Foundation,education and research urban rural all india children
Asha Gramotthan Vikas Shiksha Evam Manav Kalyan Samiti,social services urban rural madhya pradesh adults women youth
